                sˈɑ̃ : s'en, cent, sans, san, cents, sent, sang
                vwˈa : voies, voit, voix, voie, voient, vois
                kˈɛl : quelles, qu'elles, quelle, quels, quel, qu'elle
                 dˈi : dits, die, di, dis, dit, d'y
                  ˈo : eau, haut, eaux, aux, hauts, au
             akɔʁdˈe : accordés, accordé, accordée, accorder, accordées
          kɔ̃sideʁˈe : considéré, considérées, considérée, considérer, considérés
             anɔ̃sˈe : annoncées, annoncer, annoncés, annoncé, annoncée
            pʁɔpozˈe : proposer, proposées, proposé, proposée, proposés
                klˈe : clefs, clé, claes, clés, clef
            ʁezɛʁvˈe : réservée, réservés, réserver, réservé, réservées
                kˈɑ̃ : qu'en, camps, quand, quant, camp
                 nˈe : nez, nés, née, né, n'ai
              lɑ̃sˈe : lancés, lancé, lancées, lancée, lancer
            ɛ̃teɡʁˈe : intégrer, intégrées, intégrée, intégrés, intégré
            ɛ̃vɛstˈi : investi, investie, investies, investit, investis
             aplikˈe : appliqué, appliquées, appliquer, appliquée, appliqués
         ʁəpʁezɑ̃tˈe : représenté, représentées, représentée, représenter, représentés
           ɛ̃teʁɛsˈe : intéressées, intéressé, intéressée, intéressés, intéresser
               pɛjˈe : payée, payées, payé, payés, payer
              fiksˈe : fixée, fixé, fixées, fixer, fixés
                sˈɑ̃ : s'en, cent, sans, san, cents, sent, sang
                vwˈa : voies, voit, voix, voie, voient, vois
                kˈɛl : quelles, qu'elles, quelle, quels, quel, qu'elle
                 dˈi : dits, die, di, dis, dit, d'y
                  ˈo : eau, haut, eaux, aux, hauts, au
             akɔʁdˈe : accordés, accordé, accordée, accorder, accordées
          kɔ̃sideʁˈe : considéré, considérées, considérée, considérer, considérés
             anɔ̃sˈe : annoncées, annoncer, annoncés, annoncé, annoncée
            pʁɔpozˈe : proposer, proposées, proposé, proposée, proposés
                klˈe : clefs, clé, claes, clés, clef
            ʁezɛʁvˈe : réservée, réservés, réserver, réservé, réservées
                kˈɑ̃ : qu'en, camps, quand, quant, camp
                 nˈe : nez, nés, née, né, n'ai
              lɑ̃sˈe : lancés, lancé, lancées, lancée, lancer
            ɛ̃teɡʁˈe : intégrer, intégrées, intégrée, intégrés, intégré
            ɛ̃vɛstˈi : investi, investie, investies, investit, investis
             aplikˈe : appliqué, appliquées, appliquer, appliquée, appliqués
         ʁəpʁezɑ̃tˈe : représenté, représentées, représentée, représenter, représentés
           ɛ̃teʁɛsˈe : intéressées, intéressé, intéressée, intéressés, intéresser
               pɛjˈe : payée, payées, payé, payés, payer
              fiksˈe : fixée, fixé, fixées, fixer, fixés
           ɔʁɡanizˈe : organisée, organiser, organisé, organisées, organisés
            ytilizˈe : utiliser, utilisées, utilisé, utilisés, utilisée
               aʃtˈe : achetée, acheté, achetées, acheter, achetés
                vˈɛʁ : verres, vers, vert, verts, verre
               kʁeˈe : créé, créer, créées, créés, créée
             limitˈe : limitées, limités, limiter, limitée, limité
         pʁivileʒjˈe : privilégiés, privilégiées, privilégié, privilégier, privilégiée
            ʁealizˈe : réaliser, réalisé, réalisées, réalisés, réalisée
              ʃaʁʒˈe : chargée, chargé, chargées, charger, chargés
              plasˈe : placer, placé, placées, placée, placés
             adaptˈe : adaptés, adaptée, adaptées, adapter, adapté
            ɛ̃stalˈe : installée, installer, installées, installés, installé
              sityˈe : situer, situées, situés, située, situé
            devlɔpˈe : développer, développés, développé, développées, développée
          ɑ̃ʁʒistʁˈe : enregistrée, enregistré, enregistrés, enregistrer, enregistrées
            efɛktyˈe : effectués, effectuée, effectuées, effectuer, effectué
                 ˈɛl : elle, ailes, elles, el, l
             etablˈi : établis, établie, établies, établit, établi
             pybliˈe : publiée, publiés, publier, publiées, publié
               kˈɔ̃t : compte, comptes, conte, comptent, comte
               aplˈe : appelée, appelé, appelées, appeler, appelés
               pasˈe : passée, passées, passé, passer, passés
                kˈuʁ : courent, courts, court, cour, cours
              vɛʁsˈe : verser, versé, versés, versée, versées
                ʒˈɑ̃ : gens, jeans, jan, jean, j'en
              fuʁnˈi : fournit, fournies, fournie, fourni, fournis
           pʁezɑ̃tˈe : présenté, présentée, présentées, présenter, présentés
             ɛ̃pozˈe : imposée, imposé, imposer, imposées, imposés
               ʒyʒˈe : jugée, jugées, jugé, juger, jugés
            ɡaʁɑ̃tˈi : garanti, garantie, garantis, garantit, garanties
             avɑ̃sˈe : avancer, avancés, avancé, avancée, avancées
               dɔnˈe : donné, donner, donnée, données, donnés
                bˈaʁ : bar, bars, barres, barre, bart
        tʁadisjɔnˈɛl : traditionnelles, traditionnelle, traditionnels, traditionnel
           kɔ̃pɑ̃sˈe : compenser, compensée
           ɛspanjˈɔl : espagnol, espagnole
           myzisjˈɛ̃ : musiciens, musicien
           sɛ̃teʁˈɛs : s'intéresse, s'intéressent
              swaʁˈe : soirée, soirées
             fʁaʒˈil : fragiles, fragile
           divizjˈɔ̃ : divisions, division
           pʁezidˈɑ̃ : présidents, président
         ʁəpʁezɑ̃tˈɛ : représentait, représentaient
                dˈit : dite, dites
           kɔmynotˈe : communauté, communautés
              səkʁˈɛ : secret, secrets
         ɛkspeʁjˈɑ̃s : expériences, expérience
            tʁɛtmˈɑ̃ : traitements, traitement
                fˈin : fines, fine
            asɑ̃blˈe : assemblée, assemblées
       ʁɑ̃sɛnjə-mˈɑ̃ : renseignements, renseignement
           kɔ̃sɑ̃tˈi : consentis, consenti
                tˈut : toutes, toute
               vˈast : vaste, vastes
              ubliˈe : oublié, oublier
             klasˈik : classique, classiques
               yzˈin : usine, usines
               fwˈaʁ : foire, foires
              ʁeaʒˈi : réagi, réagit
               tjˈɛ̃ : tiens, tient
               sybˈi : subit, subi
           ɛ̃tɛʁɔʒˈe : interrogées, interrogé
       ɛ̃dispɑ̃sˈabl : indispensables, indispensable
                fˈam : femmes, femme
             pɔsˈibl : possibles, possible
             dɛʁnjˈe : derniers, dernier
             flɔʁˈɛ̃ : florins, florin
                pjˈe : pieds, pied
              navˈiʁ : navire, navires
           tɑ̃tatˈiv : tentatives, tentative
             afiʁmˈe : affirmé, affirmer
           ʁəlasjˈɔ̃ : relation, relations
            etydjˈɑ̃ : étudiants, étudiant
           kwɑ̃titˈe : quantités, quantité
                syˈi : suis, suit
                 ʒˈo : jo, jos
               flˈœʁ : fleur, fleurs
             editˈœʁ : éditeurs, éditeur
          ɔbliɡatˈɛʁ : obligataire, obligataires
               plˈaʒ : plages, plage
             asɔʁtˈi : assortie, assorti
               akˈiz : acquises, acquise
               mˈøbl : meuble, meubles
           spɛktˈakl : spectacles, spectacle
           kɔ̃statˈe : constaté, constater
               sˈupl : souple, souples
                jˈɛn : yens, yen
          ʒuʁnalˈist : journalistes, journaliste
               lˈɔ̃s : l'onss, l'once
               puvˈɛ : pouvait, pouvaient
               tˈɑ̃t : tente, tentent
             mɔ̃tˈɑ̃ : montant, montants
               syfˈi : suffit, suffi
        kɔ̃tɑ̃pɔʁˈɛ̃ : contemporain, contemporains
           kɔ̃stʁyˈi : construit, construits
            azjatˈik : asiatiques, asiatique
                ʃˈoz : choses, chose
                efˈɛ : effets, effet
                fˈot : fautes, faute
           difeʁˈɑ̃t : différentes, différente
            dekʁɔʃˈe : décrocher, décroché
                bˈul : boules, boule
         lɛ̃ɡyistˈik : linguistique, linguistiques
             ɛ̃kɔnˈy : inconnue, inconnu
             kyltˈyʁ : culture, cultures
             bɑ̃kˈɛʁ : bancaire, bancaires
                lˈuʁ : lourd, lourds
               sˈufʁ : souffre, souffrent
         ytilizatˈœʁ : utilisateurs, utilisateur
                kˈɔm : com, comme
          devlɔpmˈɑ̃ : développement, développements
            pʁefeʁˈe : préféré, préférer
               ekˈaʁ : écart, écarts
               lˈɔ̃ɡ : longue, longues
         pʁɛstasjˈɔ̃ : prestations, prestation
           ʁɛstoʁˈɑ̃ : restaurant, restaurants
           ʁeaksjˈɔ̃ : réaction, réactions
              fɔʁsˈe : forcer, forcé
              dekˈɔʁ : décors, décor
            sybzˈist : subsiste, subsistent
              seˈɑ̃s : séance, séances
        ʁəpʁezɑ̃tˈɑ̃ : représentant, représentants
               ʃˈɑ̃s : chances, chance
              depˈas : dépassent, dépasse
             pyisˈɑ̃ : puissants, puissant
              ɛspˈas : espace, espaces
         kɔ̃vɛʁtˈibl : convertibles, convertible
             pwasˈɔ̃ : poissons, poisson
             ʁəfyzˈe : refusé, refuser
            neɡatˈif : négatif, négatifs
                ʁˈaj : rails, rail
              nɔtˈɔ̃ : nothomb, notons
             nɔsjˈɔ̃ : notions, notion
              salˈɔ̃ : salons, salon
         paʁtisipˈɑ̃ : participant, participants
             depasˈe : dépassé, dépasser
               plˈym : plume, plumes
              kʁˈɛ̃t : craintes, crainte
           diʁɛktˈœʁ : directeurs, directeur
           paʁtisˈip : participe, participent
              mɑ̃kˈe : manqué, manquer
          sjɑ̃tifˈik : scientifique, scientifiques
           kɔ̃kyʁˈɑ̃ : concurrent, concurrents
                vˈiz : vise, visent
                bˈuʒ : bougent, bouge
               letˈa : l'état, l'etat
             ʁesˈɑ̃t : récentes, récente
             bəzwˈɛ̃ : besoins, besoin
               ɔbʒˈɛ : objets, objet
               dəvˈɛ : devaient, devait
              paʁˈɔl : paroles, parole
          abitasjˈɔ̃ : habitation, habitations
          inɔvasjˈɔ̃ : innovation, innovations
               syˈis : suisses, suisse
             flakˈɔ̃ : flacon, flacons
             sutjˈɛ̃ : soutient, soutien
        pyblikasjˈɔ̃ : publication, publications
               ʃˈaʁm : charme, charmes
                kˈuʃ : couche, couches
             aksjˈɔ̃ : action, actions
           kɔ̃pozˈɑ̃ : composants, composant
              uvʁˈaʒ : ouvrage, ouvrages
            etʁɑ̃ʒˈe : étranger, étrangers
              ataʃˈe : attachés, attaché
           favɔʁˈabl : favorable, favorables
              sɔlˈid : solides, solide
             vwazˈɛ̃ : voisins, voisin
          paʁtisipˈe : participer, participé
              sˈɛ̃pl : simples, simple
          suzevalyˈe : sous-évaluée, sous-évalué
            ɔbstˈakl : obstacle, obstacles
             nymeʁˈo : numéros, numéro
              nezˈit : n'hésite, n'hésitent
            evenmˈɑ̃ : événements, événement
         kɔtizasjˈɔ̃ : cotisations, cotisation
             aksˈɛpt : acceptent, accepte
           kɔ̃pletˈe : compléter, complété
            ɛ̃spiʁˈe : inspiré, inspirée
      kaʁakteʁistˈik : caractéristique, caractéristiques
               pˈɛʁt : perte, pertes
         etablismˈɑ̃ : établissement, établissements
           ɛ̃kapˈabl : incapables, incapable
               puʁˈɛ : pourraient, pourrait
            pʁɛ̃sˈip : principe, principes
              tɛʁˈɛ̃ : terrains, terrain
           pʁɔmɔtˈœʁ : promoteur, promoteurs
               lˈyks : lux, luxe
             anɔnˈim : anonyme, anonymes
        neɡɔsjasjˈɔ̃ : négociation, négociations
                ʁˈɛn : rens, reine
               susˈi : soucis, souci
              likˈid : liquides, liquide
             viktˈim : victime, victimes
               mənˈy : menus, menu
               bɛsˈe : baisser, baissé
            nymeʁˈik : numérique, numériques
                 ʒˈi : j'y, j
             sɑ̃tˈɛn : centaines, centaine
             dispˈoz : disposent, dispose
               pakˈɛ : paquets, paquet
                 nˈɛ : n'ait, n'est
           fɔ̃datˈœʁ : fondateur, fondateurs
            ʁɑ̃dmˈɑ̃ : rendement, rendements
             eʃeˈɑ̃s : échéance, échéances
     ʁeɡləmɑ̃tasjˈɔ̃ : réglementations, réglementation
             pʁɔʃˈɛ̃ : prochains, prochain
            sulinjˈe : souligner, souligné
              ʃofˈœʁ : chauffeur, chauffeurs
             ɔʁiʒˈin : origines, origine
           fuʁnisˈœʁ : fournisseurs, fournisseur
              fˈiltʁ : filtre, filtres
              plˈɑ̃ʃ : planche, planches
               plˈak : plaques, plaque
         spesjalˈist : spécialiste, spécialistes
                ʁˈys : russes, russe
              mənˈas : menaces, menace
             sadʁˈɛs : s'adressent, s'adresse
          kɔ̃petˈɑ̃s : compétence, compétences
                 ˈɛn : haine, n
             finˈɑ̃s : finance, finances
           ɛɡzistˈɑ̃ : existant, existants
            kɔ̃pˈɔʁt : comporte, comportent
                 sˈe : c, ces
               bebˈe : bébés, bébé
            ʁəmaʁkˈe : remarqué, remarquer
               kafˈe : cafés, café
                sˈɛs : cessent, cesse
       kɔ̃ʒɔ̃ktyʁˈɛl : conjoncturelle, conjoncturel
                pˈɔm : pommes, pomme
           ɛ̃pɔʁtˈɑ̃ : importants, important
             miʁwˈaʁ : miroir, miroirs
            tɛkstˈil : textile, textiles
                pˈil : pile, piles
                ˈotʁ : autre, autres
          sɔsjalˈist : socialiste, socialistes
                mˈin : mines, mine
            vaʁjˈabl : variables, variable
            medəsˈɛ̃ : médecins, médecin
                fˈaz : phase, phases
              sˈɑ̃tʁ : centre, centres
                sˈɔm : somme, sommes
             valˈabl : valable, valables
              ʁesˈɑ̃ : récent, récents
            ekɔnɔmˈi : économies, économie
         kɔ̃binɛzˈɔ̃ : combinaison, combinaisons
         ɛstimasjˈɔ̃ : estimations, estimation
           dəmɑ̃dˈœʁ : demandeurs, demandeur
              mɔtˈif : motifs, motif
               fˈilm : film, films
           ɛksplikˈe : expliqué, expliquer
               ʁatˈe : raté, rater
             ɛ̃vitˈe : invité, invités
           fotoɡʁˈaf : photographe, photographes
       dɛ̃fɔʁmasjˈɔ̃ : d'informations, d'information
              salˈɛʁ : salaire, salaires
         plɑ̃tasjˈɔ̃ : plantations, plantation
           aksjɔnˈɛʁ : actionnaires, actionnaire
       kɔmynikasjˈɔ̃ : communications, communication
              adʁˈɛs : adresses, adresse
                 vˈø : veut, veux
              evɔkˈe : évoquer, évoqué
           ʁɑ̃buʁsˈe : rembourser, remboursé
                tʁˈu : trous, trou
            ʁəʃɛʁʃˈe : recherché, rechercher
            demˈɔ̃tʁ : démontre, démontrent
          difikyltˈe : difficultés, difficulté
               fˈiks : fixes, fixe
               klˈas : classe, classes
               sjˈɛ̃ : sien, siens
              lekˈɛl : lesquels, lesquelles
           ɛkspʁimˈe : exprimé, exprimer
            istɔʁˈik : historiques, historique
              vizˈit : visites, visite
         dɔʁdinatˈœʁ : d'ordinateur, d'ordinateurs
             kalitˈe : qualité, qualités
              uvʁiˈe : ouvrier, ouvriers
          akizisjˈɔ̃ : acquisitions, acquisition
              vizˈaʒ : visages, visage
                vˈid : vide, vides
        daplikasjˈɔ̃ : d'applications, d'application
          kɔmynotˈɛʁ : communautaire, communautaires
                fˈɛʁ : faire, fer
            sɔsjetˈe : sociétés, société
            ɛksɛlˈɑ̃ : excellents, excellent
              mɔʁsˈo : morceaux, morceau
                fˈos : fausse, fausses
        paʁləmɑ̃tˈɛʁ : parlementaires, parlementaire
         ɛ̃dikasjˈɔ̃ : indication, indications
            diʒitˈal : digital, digitale
                lwˈa : loi, lois
         fɔ̃ksjɔnˈɛʁ : fonctionnaires, fonctionnaire
            ɛɡzˈɑ̃pl : exemples, exemple
            laktyˈɛl : l'actuel, l'actuelle
            pʁɔvˈɛ̃s : province, provinces
                ʒˈuʁ : jour, jours
              pətˈit : petite, petites
            kɔ̃tˈakt : contacts, contact
         kɔ̃vɑ̃sjˈɔ̃ : convention, conventions
             dəvjˈɛn : devienne, deviennent
                ljˈø : lieux, lieu
              kliˈɑ̃ : clients, client
            militˈɛʁ : militaires, militaire
            ʁeynjˈɔ̃ : réunion, réunions
              bʁˈɑ̃ʃ : branches, branche
           kɔ̃stitˈy : constitue, constituent
          kɔ̃dyktˈœʁ : conducteur, conducteurs
                nˈøv : neuve, neuves
           ɛksɛlˈɑ̃t : excellentes, excellente
            viʁtyˈɛl : virtuel, virtuelle
        kɔ̃tinɑ̃tˈal : continental, continentale
              ʁutjˈe : routiers, routier
              sumˈiz : soumises, soumise
             pʁɔmˈɛs : promesse, promesses
            nesɛsˈit : nécessitent, nécessite
                 dˈe : d, dés
             ɛspwˈaʁ : espoirs, espoir
           mateʁjˈɛl : matériels, matériel
                pˈɔl : pol, paul
          temwanjˈaʒ : témoignages, témoignage
              ideˈal : idéale, idéal
             kɔmˈɑ̃s : commence, commencent
                oʁˈɛ : aurait, auraient
                 lˈu : loup, loue
            ʁəlatˈiv : relative, relatives
           sinjatˈyʁ : signatures, signature
              vilˈaʒ : village, villages
         pʁɔdyksjˈɔ̃ : productions, production
           kʁeasjˈɔ̃ : créations, création
                tˈyb : tube, tubes
             dyʁˈabl : durable, durables
               ɡˈaʁd : gardent, garde
           sybstˈɑ̃s : substance, substances
               seʁˈi : série, séries
               lˈitʁ : litre, litres
               kˈuʁt : courte, courtes
             ɑ̃sjˈɛ̃ : ancien, anciens
             vɑ̃dˈœʁ : vendeur, vendeurs
             pʁɔdyˈi : produits, produit
             elemˈɑ̃ : éléments, élément
       ɛ̃tɛʁlɔkytˈœʁ : interlocuteurs, interlocuteur
              məzˈyʁ : mesures, mesure
               pʁˈøv : preuves, preuve
         ɛ̃teʁɛsˈɑ̃t : intéressante, intéressantes
             ʃapˈitʁ : chapitre, chapitres
             depytˈe : député, députés
               ʃˈɛʁʃ : cherchent, cherche
             ɡʁatyˈi : gratuits, gratuit
        ɛ̃depɑ̃dˈɑ̃t : indépendantes, indépendante
          vaʁjasjˈɔ̃ : variation, variations
              malˈad : malade, malades
             ʁəpʁˈiz : reprises, reprise
            mekanˈik : mécanique, mécaniques
             miljˈaʁ : milliard, milliards
              ʒuʁnˈe : journée, journées
            vɛʁsjˈɔ̃ : versions, version
          katastʁˈɔf : catastrophe, catastrophes
            ʁezistˈe : résisté, résister
           ɛɡziʒˈɑ̃s : exigence, exigences
               klˈoz : clause, clauses
           sɔlysjˈɔ̃ : solutions, solution
           pɛsimˈist : pessimistes, pessimiste
               lˈɑ̃ɡ : langues, langue
                ʁˈiʁ : rires, rire
               ɡʁˈɛk : grec, grecque
                 ˈœ̃ : un, uns
        dispozisjˈɔ̃ : disposition, dispositions
             pʁɔʃˈɛn : prochaine, prochaines
        ɛ̃vɛstismˈɑ̃ : investissement, investissements
            stɑ̃dˈaʁ : standards, standard
           kɔmɑ̃tˈɛʁ : commentaires, commentaire
           vwajaʒˈœʁ : voyageurs, voyageur
              sˈɛʁkl : cercle, cercles
           abɑ̃dɔnˈe : abandonné, abandonner
               ʒˈysk : jusqu', jusque
               syˈit : suite, suites
              paʁˈɛj : pareille, pareil
                dˈɔʁ : d'or, d'ores
               tʁˈuv : trouve, trouvent
               ɛʁˈœʁ : erreur, erreurs
          kɔ̃sɔlidˈe : consolidé, consolider
             ɡlɔbˈal : globale, global
             oɡmˈɑ̃t : augmente, augmentent
            vitamˈin : vitamines, vitamine
              filˈip : philippe, philip
             atəljˈe : ateliers, atelier
             ɛkstʁˈɛ : extrait, extraits
           ʁɛspɛktˈe : respecté, respecter
               defˈo : défauts, défaut
             kuʁtjˈe : courtiers, courtier
              ʁɛjˈɔ̃ : rayons, rayon
               ˈɔʁdʁ : ordres, ordre
             nuvotˈe : nouveauté, nouveautés
               fʁyˈi : fruits, fruit
              albˈɔm : album, albums
             mɔ̃tʁˈe : montré, montrer
             miljˈɔ̃ : million, millions
            titylˈɛʁ : titulaires, titulaire
           diʁɛktˈiv : directives, directive
              mˈɑ̃bʁ : membres, membre
                tˈɔn : tonnes, tonne
             ʁəkœjˈi : recueilli, recueillis
              ezitˈe : hésiter, hésité
               dˈisk : disque, disques
             ɑ̃titˈe : entité, entités
                ʁˈoz : rose, roses
                lˈyn : l'une, lune
               ɡʁˈos : grosses, grosse
                pˈyʁ : pur, pure
              tʁˈɑ̃ʃ : tranches, tranche
              sysˈit : suscite, suscitent
               kˈuvʁ : couvre, couvrent
               afˈɛʁ : affaires, affaire
                dˈut : doutes, doute
                 ʁˈy : rues, rue
                plˈa : plat, plats
               ymˈɛ̃ : humains, humain
                kʁˈy : cru, crus
               aʒˈɑ̃ : agent, agents
            kɔ̃sˈakʁ : consacre, consacrent
             maʁʃˈɑ̃ : marchands, marchand
            minˈistʁ : ministre, ministres
              mˈikst : mixte, mixtes
            ʁealitˈe : réalité, réalités
              mɔtˈœʁ : moteurs, moteur
                mˈɔʁ : morts, mort
            senaʁjˈo : scénario, scénarios
               kitˈe : quitter, quitté
               lˈaʁʒ : large, larges
            diminyˈe : diminué, diminuer
               asˈyʁ : assure, assurent
               imˈaʒ : image, images
              ʁətˈaʁ : retards, retard
            kɛstjˈɔ̃ : question, questions
             dekʁˈiʁ : d'écrire, décrire
                etˈɛ : étaient, était
           stʁyktˈyʁ : structures, structure
             kuʁˈɑ̃t : courantes, courante
              mɔdˈyl : modules, module
             ɔ̃lˈajn : online, on-line
          apaʁtəmˈɑ̃ : appartement, appartements
               netˈɛ : n'était, n'étaient
              butˈɛj : bouteille, bouteilles
              pwˈɛ̃t : pointes, pointe
            pɔlitˈik : politiques, politique
                ʃˈɛz : chaises, chaise
              adˈylt : adulte, adultes
            aɡʁeˈabl : agréable, agréables
            øʁɔpeˈɛn : européennes, européenne
         ɔpɔʁtynitˈe : opportunités, opportunité
          minɔʁitˈɛʁ : minoritaires, minoritaire
            pɔlisjˈe : policier, policiers
            ʁapɔʁtˈe : rapporté, rapporter
              mɔbˈil : mobiles, mobile
             apʁesˈi : apprécie, apprécient
                mˈɔd : mode, modes
               ʁezˈo : réseaux, réseau
              ʃosˈyʁ : chaussure, chaussures
      ʁəkɔmɑ̃dasjˈɔ̃ : recommandations, recommandation
               ʒˈɛst : geste, gestes
             ʁefˈɔʁm : réforme, réformes
         ɛ̃fɔʁmatˈik : informatiques, informatique
           aktivitˈe : activités, activité
               kˈadʁ : cadre, cadres
               vwˈaʁ : voir, voire
              abutˈi : abouti, aboutit
              ʁəkˈɔʁ : records, record
           paʁtənˈɛʁ : partenaire, partenaires
               biʒˈu : bijou, bijoux
             byd͡ʒˈɛ : budgets, budget
                dˈœj : d'oeil, deuil
             otonˈɔm : autonomes, autonome
              sɛzˈɔ̃ : saisons, saison
            mɔnetˈɛʁ : monétaires, monétaire
          fɔʁmasjˈɔ̃ : formations, formation
                zˈɔn : zone, zones
             depˈɑ̃s : dépenses, dépense
               fʁˈɛ̃ : frein, freins
                bˈɔʁ : bords, bord
              menˈaʒ : ménages, ménage
           kɔmynikˈe : communiquer, communiqué
             defisˈi : déficits, déficit
            ɛksplˈik : expliquent, explique
                  ˈe : et, ai
              dɛsˈɛʁ : dessert, desserts
           ɛ̃plɑ̃tˈe : implantée, implanté
            fedeʁˈal : fédérale, fédéral
            lɔkatˈɛʁ : locataires, locataire
                tˈip : type, types
              sɔnˈɔʁ : sonore, sonores
              asjˈɛt : assiettes, assiette
              pʁɔfˈi : profit, profits
              litˈiʒ : litige, litiges
             asyʁˈœʁ : assureurs, assureur
           pʁɔsedˈyʁ : procédure, procédures
               nˈɔbl : nobles, noble
            dɔkymˈɑ̃ : document, documents
             demaʁˈe : démarré, démarrer
               tʁˈɛ̃ : trains, train
              tʁˈubl : troubles, trouble
            sinjalˈe : signaler, signalé
           kɔ̃plˈɛks : complexe, complexes
        kɔ̃sideʁˈabl : considérable, considérables
               ˈaʁbʁ : arbres, arbre
               eʃˈap : échappe, échappent
         lisɑ̃simˈɑ̃ : licenciements, licenciement
            ɛ̃plikˈe : impliqués, impliqué
        kɔlabɔʁatˈœʁ : collaborateurs, collaborateur
             amatˈœʁ : amateur, amateurs
               pʁˈiz : prises, prise
              atiʁˈe : attiré, attirer
              avˈɑ̃s : avancent, avance
           ɛ̃ʒenjˈœʁ : ingénieurs, ingénieur
          evɔlysjˈɔ̃ : évolutions, évolution
            ɑ̃balˈaʒ : emballage, emballages
             sinjˈal : signal, signale
              pɛʁsˈe : percer, percée
            myltˈipl : multiples, multiple
             ʃɑ̃tjˈe : chantiers, chantier
                ʁˈɔb : robe, robes
           pɛʁmanˈɑ̃ : permanent, permanents
             ʒeneʁˈe : généré, générer
             afɛktˈe : affectés, affecté
              səʁˈɔ̃ : serons, seront
          tʁadisjˈɔ̃ : traditions, tradition
       kɔ̃tʁibysjˈɔ̃ : contributions, contribution
      lyksɑ̃buʁʒwˈaz : luxembourgeoise, luxembourgeoises
               pˈovʁ : pauvre, pauvres
         altɛʁnatˈiv : alternatives, alternative
                kʁˈe : créent, crée
          ɛ̃tɛliʒˈɑ̃ : intelligent, intelligents
              pʁˈɔpʁ : propres, propre
          ɑ̃plasmˈɑ̃ : emplacement, emplacements
                tyˈe : tué, tuer
               ˈɑ̃tʁ : entre, entrent
       kɔ̃kyʁɑ̃sjˈɛl : concurrentiel, concurrentielle
                ˈœvʁ : oeuvre, oeuvres
               suʁˈi : sourit, souris
            spɔʁtˈiv : sportives, sportive
          myltipliˈe : multiplié, multiplier
              kaʁnˈɛ : carnet, carnets
              pɛmˈɑ̃ : paiement, paiements
            atʁibyˈe : attribué, attribuer
                 dˈo : d'eau, d'au
   telekɔmynikasjˈɔ̃ : télécommunication, télécommunications
